id;text;correct_answer;choice_2;choice_3;choice_4
20018;"Que veut dire ""bag"" en français ?";sac;fenêtre;table;stylo
20019;"Comment dit-on ""à gauche, il y a cinq cochons"" en anglais ?";On the left, there are 5 pigs;On the left, there are 5 rabbits;On the left, there are 5 bears;On the left, there are 5 ducks
20020;"Comment dit-on ""étoile"" en anglais ?";star;valley;volcano;root
20021;"Comment dit-on ""à droite, il y a sept souriss"" en anglais ?";On the right, there are 7 mice;On the right, there are 7 rabbits;On the right, there are 7 pigs;On the right, there are 7 monkeys
20022;"Comment dit-on ""pantalon"" en anglais ?";trousers;shoes;coat;shirt
20023;"Comment dit-on ""j'ai commencé"" en anglais ?";I started;I finished;I answered;I waited
20024;"Comment dit-on ""à gauche, il y a cinq lapins"" en anglais ?";On the left, there are 5 rabbits;On the left, there are 5 elephants;On the left, there are 5 pigs;On the left, there are 5 lions
20025;"Que veut dire ""shark"" en français ?";requin;kangourou;aigle;poule
20026;"Comment dit-on ""au milieu, il y a sept canards"" en anglais ?";In the middle, there are 7 ducks;In the middle, there are 7 sheep;In the middle, there are 7 horses;In the middle, there are 7 fish
20027;"Comment dit-on ""juillet"" en anglais ?";july;january;march;october
20028;"Comment dit-on ""au milieu, il y a six grenouilles"" en anglais ?";In the middle, there are 6 frogs;In the middle, there are 6 fish;In the middle, there are 6 snakes;In the middle, there are 6 rabbits
20029;"Comment dit-on ""au milieu, il y a sept chevaux"" en anglais ?";In the middle, there are 7 horses;In the middle, there are 7 sheep;In the middle, there are 7 monkeys;In the middle, there are 7 bears
20030;"Que veut dire ""zebra"" en français ?";zèbre;chameau;fourmi;loup
20031;"Que veut dire ""cloud"" en français ?";nuage;soleil;vent;orage
20032;"Que veut dire ""I found"" en français ?";j'ai trouvé;j'ai volé;j'ai pensé;j'ai bu
20033;"Comment dit-on ""il y a six tigres"" en anglais ?";There are 6 tigers;There are 6 fish;There are 6 bears;There are 6 cats
20034;"Comment dit-on ""en bas, il y a cinq moutons"" en anglais ?";At the bottom, there are 5 sheep;At the bottom, there are 5 pigs;At the bottom, there are 5 bears;At the bottom, there are 5 fish
20035;"Comment dit-on ""à gauche, il y a quatre poissons"" en anglais ?";On the left, there are 4 fish;On the left, there are 4 lions;On the left, there are 4 cats;On the left, there are 4 ducks
20036;"Comment dit-on ""à droite, il y a sept serpents"" en anglais ?";On the right, there are 7 snakes;On the right, there are 7 elephants;On the right, there are 7 pigs;On the right, there are 7 horses
20037;"Comment dit-on ""pluie"" en anglais ?";rain;snow;sun;storm
20038;"Comment dit-on ""en bas, il y a cinq chats"" en anglais ?";At the bottom, there are 5 cats;At the bottom, there are 5 rabbits;At the bottom, there are 5 frogs;At the bottom, there are 5 ducks
20039;"Comment dit-on ""à droite, il y a six lapins"" en anglais ?";On the right, there are 6 rabbits;On the right, there are 6 tigers;On the right, there are 6 sheep;On the right, there are 6 horses
20040;"Comment dit-on ""au milieu, il y a six souriss"" en anglais ?";In the middle, there are 6 mice;In the middle, there are 6 bears;In the middle, there are 6 lions;In the middle, there are 6 sheep
20041;"Comment dit-on ""en bas, il y a six chiens"" en anglais ?";At the bottom, there are 6 dogs;At the bottom, there are 6 tigers;At the bottom, there are 6 birds;At the bottom, there are 6 horses
20042;"Que veut dire ""storm"" en français ?";orage;vent;froid;soleil
20043;"Comment dit-on ""piano"" en anglais ?";piano;flute;guitar;violin
20044;"Comment dit-on ""portugais"" en anglais ?";Portuguese;Mexican;Russian;Swedish
20045;"Que veut dire ""snail"" en français ?";escargot;chèvre;renard;dinde
20046;"Que veut dire ""cup"" en français ?";tasse;bol;four;verre
20047;"Comment dit-on ""en haut, il y a quatre poissons"" en anglais ?";At the top, there are 4 fish;At the top, there are 4 dogs;At the top, there are 4 pigs;At the top, there are 4 frogs
20048;"Comment dit-on ""riz"" en anglais ?";rice;meat;egg;water
20049;"Que veut dire ""meat"" en français ?";viande;oeuf;pomme;fromage
20050;"Comment dit-on ""en haut, il y a quatre lions"" en anglais ?";At the top, there are 4 lions;At the top, there are 4 ducks;At the top, there are 4 mice;At the top, there are 4 tigers
20051;"Comment dit-on ""à droite, il y a cinq grenouilles"" en anglais ?";On the right, there are 5 frogs;On the right, there are 5 tigers;On the right, there are 5 lions;On the right, there are 5 horses
20052;"Comment dit-on ""en haut, il y a six canards"" en anglais ?";At the top, there are 6 ducks;At the top, there are 6 birds;At the top, there are 6 sheep;At the top, there are 6 horses
20053;"Comment dit-on ""il y a sept singes"" en anglais ?";There are 7 monkeys;There are 7 ducks;There are 7 horses;There are 7 sheep
20054;"Comment dit-on ""en bas, il y a six oiseaus"" en anglais ?";At the bottom, there are 6 birds;At the bottom, there are 6 elephants;At the bottom, there are 6 cats;At the bottom, there are 6 bears
20055;"Comment dit-on ""à gauche, il y a cinq éléphants"" en anglais ?";On the left, there are 5 elephants;On the left, there are 5 fish;On the left, there are 5 lions;On the left, there are 5 tigers
20056;"Comment dit-on ""à droite, il y a quatre souriss"" en anglais ?";On the right, there are 4 mice;On the right, there are 4 cats;On the right, there are 4 rabbits;On the right, there are 4 birds
20057;"Que veut dire ""Australian"" en français ?";australien;gallois;japonais;belge
20058;"Comment dit-on ""poulet"" en anglais ?";chicken;pineapple;salt;pepper
20059;"Comment dit-on ""à droite, il y a cinq poissons"" en anglais ?";On the right, there are 5 fish;On the right, there are 5 mice;On the right, there are 5 tigers;On the right, there are 5 ducks
20060;"Comment dit-on ""soupe"" en anglais ?";soup;water;meat;cheese
20061;"Comment dit-on ""à gauche, il y a cinq serpents"" en anglais ?";On the left, there are 5 snakes;On the left, there are 5 fish;On the left, there are 5 frogs;On the left, there are 5 elephants
20062;"Comment dit-on ""à droite, il y a sept chiens"" en anglais ?";On the right, there are 7 dogs;On the right, there are 7 pigs;On the right, there are 7 mice;On the right, there are 7 fish
20063;"Comment dit-on ""il y a six chevaux"" en anglais ?";There are 6 horses;There are 6 birds;There are 6 tigers;There are 6 elephants
20064;"Comment dit-on ""à gauche, il y a cinq canards"" en anglais ?";On the left, there are 5 ducks;On the left, there are 5 rabbits;On the left, there are 5 frogs;On the left, there are 5 birds
20065;"Comment dit-on ""j'ai fini"" en anglais ?";I finished;I started;I heard;I waited
20066;"Que veut dire ""fourth"" en français ?";quatrième;premier;dixième;septième
20067;"Comment dit-on ""au milieu, il y a cinq chevaux"" en anglais ?";In the middle, there are 5 horses;In the middle, there are 5 rabbits;In the middle, there are 5 ducks;In the middle, there are 5 lions
20068;"Que veut dire ""carrot"" en français ?";carotte;poire;céréales;confiture
20069;"Comment dit-on ""au milieu, il y a quatre vaches"" en anglais ?";In the middle, there are 4 cows;In the middle, there are 4 tigers;In the middle, there are 4 frogs;In the middle, there are 4 ducks
20070;"Que veut dire ""fox"" en français ?";renard;ours polaire;grenouille;crabe
20071;"Comment dit-on ""j'ai répondu"" en anglais ?";I answered;I started;I heard;I wanted
20072;"Comment dit-on ""au milieu, il y a cinq chats"" en anglais ?";In the middle, there are 5 cats;In the middle, there are 5 cows;In the middle, there are 5 ducks;In the middle, there are 5 monkeys
20073;"Comment dit-on ""gel"" en anglais ?";frost;storm;rainbow;thunder
20074;"Que veut dire ""oven"" en français ?";four;bol;cuillère;tasse
20075;"Comment dit-on ""au milieu, il y a sept oiseaus"" en anglais ?";In the middle, there are 7 birds;In the middle, there are 7 elephants;In the middle, there are 7 horses;In the middle, there are 7 frogs
20076;"Comment dit-on ""à gauche, il y a sept ours"" en anglais ?";On the left, there are 7 bears;On the left, there are 7 snakes;On the left, there are 7 rabbits;On the left, there are 7 horses
20077;"Comment dit-on ""au milieu, il y a cinq oiseaus"" en anglais ?";In the middle, there are 5 birds;In the middle, there are 5 bears;In the middle, there are 5 frogs;In the middle, there are 5 elephants
20078;"Comment dit-on ""il y a cinq tigres"" en anglais ?";There are 5 tigers;There are 5 sheep;There are 5 rabbits;There are 5 fish
20079;"Comment dit-on ""quarante"" en anglais ?";forty;two;one hundred;sixty
20080;"Que veut dire ""forty"" en français ?";quarante;deux;vingt;trente
20081;"Comment dit-on ""cinquante"" en anglais ?";fifty;eighty;seventy;five
20082;"Que veut dire ""fifty"" en français ?";cinquante;huit;quatre-vingts;soixante-dix
20083;"Comment dit-on ""soixante"" en anglais ?";sixty;thirty;two;nine
20084;"Que veut dire ""sixty"" en français ?";soixante;six;un;huit
20085;"Comment dit-on ""soixante-dix"" en anglais ?";seventy;one;ten;thirty
20086;"Que veut dire ""seventy"" en français ?";soixante-dix;sept;quarante;quatre
20087;"Comment dit-on ""quatre-vingts"" en anglais ?";eighty;thirty;twenty;four
20088;"Que veut dire ""eighty"" en français ?";quatre-vingts;huit;deux;cinquante
20089;"Comment dit-on ""quatre-vingt-dix"" en anglais ?";ninety;two;seventy;four
20090;"Que veut dire ""ninety"" en français ?";quatre-vingt-dix;cinq;six;un
20091;"Comment dit-on ""cent"" en anglais ?";one hundred;ten;three;nine
20092;"Que veut dire ""one hundred"" en français ?";cent;trois;un;cinquante
20093;"Comment dit-on ""à droite, il y a six ours"" en anglais ?";On the right, there are 6 bears;On the right, there are 6 rabbits;On the right, there are 6 cows;On the right, there are 6 tigers
20094;"Que veut dire ""roof"" en français ?";toit;garage;salon;cave
20095;"Comment dit-on ""chinois"" en anglais ?";Chinese;Scottish;Brazilian;Mexican
20096;"Comment dit-on ""à gauche, il y a six oiseaus"" en anglais ?";On the left, there are 6 birds;On the left, there are 6 frogs;On the left, there are 6 horses;On the left, there are 6 pigs
20097;"Comment dit-on ""dauphin"" en anglais ?";dolphin;polar bear;hen;fox
20098;"Que veut dire ""park"" en français ?";parc;plage;aéroport;ferme
20099;"Comment dit-on ""à droite, il y a quatre éléphants"" en anglais ?";On the right, there are 4 elephants;On the right, there are 4 pigs;On the right, there are 4 rabbits;On the right, there are 4 tigers
20100;"Que veut dire ""bee"" en français ?";abeille;dinde;chèvre;crabe
20101;"Comment dit-on ""en bas, il y a sept grenouilles"" en anglais ?";At the bottom, there are 7 frogs;At the bottom, there are 7 elephants;At the bottom, there are 7 mice;At the bottom, there are 7 horses
20102;"Que veut dire ""knife"" en français ?";couteau;bol;évier;verre
20103;"Comment dit-on ""chauffeur"" en anglais ?";driver;baker;postman;baker
20104;"Comment dit-on ""à droite, il y a cinq chats"" en anglais ?";On the right, there are 5 cats;On the right, there are 5 pigs;On the right, there are 5 rabbits;On the right, there are 5 monkeys
20105;"Comment dit-on ""hibou"" en anglais ?";owl;squirrel;octopus;spider
20106;"Que veut dire ""pink"" en français ?";rose;jaune;rouge;gris
20107;"Comment dit-on ""sucre"" en anglais ?";sugar;lemon;cookie;carrot
20108;"Que veut dire ""lavender"" en français ?";lavande;beige;crème;bordeaux
20109;"Comment dit-on ""en bas, il y a quatre chats"" en anglais ?";At the bottom, there are 4 cats;At the bottom, there are 4 lions;At the bottom, there are 4 tigers;At the bottom, there are 4 horses
20110;"Que veut dire ""camel"" en français ?";chameau;lézard;ours polaire;pieuvre
20111;"Comment dit-on ""j'ai attrapé"" en anglais ?";I caught;I found;I lost;I sat
20112;"Que veut dire ""marker"" en français ?";feutre;mur;calculatrice;ordinateur
20113;"Comment dit-on ""araignée"" en anglais ?";spider;eagle;bee;goat
20114;"Que veut dire ""I sat"" en français ?";je me suis assis;j'ai perdu;j'ai conduit;j'ai envoyé
20115;"Comment dit-on ""gallois"" en anglais ?";Welsh;Portuguese;Chinese;Scottish
20116;"Que veut dire ""march"" en français ?";mars;mai;décembre;avril
20117;"Comment dit-on ""premier"" en anglais ?";first;second;ninth;sixth
20118;"Comment dit-on ""au milieu, il y a quatre ours"" en anglais ?";In the middle, there are 4 bears;In the middle, there are 4 fish;In the middle, there are 4 horses;In the middle, there are 4 frogs
20119;"Comment dit-on ""sol"" en anglais ?";floor;map;window;ceiling
20120;"Que veut dire ""painter"" en français ?";peintre;coiffeur;acteur;facteur
20121;"Comment dit-on ""écureuil"" en anglais ?";squirrel;crab;peacock;deer
20122;"Que veut dire ""pot"" en français ?";casserole;fourchette;assiette;cuillère
20123;"Comment dit-on ""poule"" en anglais ?";hen;owl;fox;octopus
20124;"Que veut dire ""Scottish"" en français ?";écossais;grec;indien;japonais
20125;"Comment dit-on ""à droite, il y a six chats"" en anglais ?";On the right, there are 6 cats;On the right, there are 6 ducks;On the right, there are 6 horses;On the right, there are 6 tigers
20126;"Que veut dire ""grape"" en français ?";raisin;soupe;chocolat;pain
20127;"Comment dit-on ""cygne"" en anglais ?";swan;penguin;deer;donkey
20128;"Que veut dire ""Belgian"" en français ?";belge;brésilien;suisse;japonais
20129;"Comment dit-on ""chauve-souris"" en anglais ?";bat;rooster;frog;giraffe
20130;"Que veut dire ""ant"" en français ?";fourmi;aigle;abeille;poule
20131;"Comment dit-on ""caillou"" en anglais ?";stone;sun;volcano;root
20132;"Que veut dire ""I taught"" en français ?";j'ai enseigné;j'ai perdu;j'ai chanté;j'ai écrit
20133;"Comment dit-on ""jumeau"" en anglais ?";twin;cousin;stepmother;stepfather
20134;"Que veut dire ""stepmother"" en français ?";belle-mère;nièce;tante;cousin
20135;"Comment dit-on ""j'ai volé"" en anglais ?";I flew;I sang;I thought;I swam
20136;"Que veut dire ""sandwich"" en français ?";sandwich;gâteau;pêche;pastèque
20137;"Comment dit-on ""en bas, il y a six grenouilles"" en anglais ?";At the bottom, there are 6 frogs;At the bottom, there are 6 tigers;At the bottom, there are 6 bears;At the bottom, there are 6 snakes
20138;"Comment dit-on ""au milieu, il y a quatre souriss"" en anglais ?";In the middle, there are 4 mice;In the middle, there are 4 pigs;In the middle, there are 4 frogs;In the middle, there are 4 rabbits
20139;"Comment dit-on ""à gauche, il y a six ours"" en anglais ?";On the left, there are 6 bears;On the left, there are 6 birds;On the left, there are 6 fish;On the left, there are 6 dogs
20140;"Comment dit-on ""à gauche, il y a six tigres"" en anglais ?";On the left, there are 6 tigers;On the left, there are 6 rabbits;On the left, there are 6 mice;On the left, there are 6 dogs
20141;"Comment dit-on ""à droite, il y a sept ours"" en anglais ?";On the right, there are 7 bears;On the right, there are 7 elephants;On the right, there are 7 snakes;On the right, there are 7 dogs
20142;"Comment dit-on ""à droite, il y a six chiens"" en anglais ?";On the right, there are 6 dogs;On the right, there are 6 rabbits;On the right, there are 6 cows;On the right, there are 6 mice
20143;"Comment dit-on ""à droite, il y a six lions"" en anglais ?";On the right, there are 6 lions;On the right, there are 6 ducks;On the right, there are 6 monkeys;On the right, there are 6 snakes
20144;"Comment dit-on ""il y a six serpents"" en anglais ?";There are 6 snakes;There are 6 pigs;There are 6 lions;There are 6 monkeys
20145;"Comment dit-on ""en haut, il y a cinq vaches"" en anglais ?";At the top, there are 5 cows;At the top, there are 5 cats;At the top, there are 5 fish;At the top, there are 5 elephants
20146;"Comment dit-on ""en bas, il y a quatre poissons"" en anglais ?";At the bottom, there are 4 fish;At the bottom, there are 4 bears;At the bottom, there are 4 tigers;At the bottom, there are 4 lions
20147;"Comment dit-on ""il y a sept chiens"" en anglais ?";There are 7 dogs;There are 7 bears;There are 7 elephants;There are 7 cats
20148;"Comment dit-on ""il y a sept oiseaus"" en anglais ?";There are 7 birds;There are 7 rabbits;There are 7 cats;There are 7 frogs
20149;"Comment dit-on ""en bas, il y a six poissons"" en anglais ?";At the bottom, there are 6 fish;At the bottom, there are 6 rabbits;At the bottom, there are 6 dogs;At the bottom, there are 6 ducks
20150;"Comment dit-on ""en haut, il y a sept canards"" en anglais ?";At the top, there are 7 ducks;At the top, there are 7 bears;At the top, there are 7 birds;At the top, there are 7 pigs
20151;"Comment dit-on ""en haut, il y a six moutons"" en anglais ?";At the top, there are 6 sheep;At the top, there are 6 cows;At the top, there are 6 bears;At the top, there are 6 tigers
20152;"Comment dit-on ""il y a quatre vaches"" en anglais ?";There are 4 cows;There are 4 frogs;There are 4 fish;There are 4 rabbits
20153;"Comment dit-on ""en bas, il y a six lions"" en anglais ?";At the bottom, there are 6 lions;At the bottom, there are 6 snakes;At the bottom, there are 6 horses;At the bottom, there are 6 cows
20154;"Que veut dire ""hand"" en français ?";main;tête;pied;oreille
20155;"Comment dit-on ""en bas, il y a quatre éléphants"" en anglais ?";At the bottom, there are 4 elephants;At the bottom, there are 4 cows;At the bottom, there are 4 mice;At the bottom, there are 4 fish
20156;"Comment dit-on ""en haut, il y a cinq lions"" en anglais ?";At the top, there are 5 lions;At the top, there are 5 pigs;At the top, there are 5 fish;At the top, there are 5 sheep
20157;"Comment dit-on ""en bas, il y a sept serpents"" en anglais ?";At the bottom, there are 7 snakes;At the bottom, there are 7 horses;At the bottom, there are 7 lions;At the bottom, there are 7 rabbits
20158;"Comment dit-on ""en haut, il y a sept chats"" en anglais ?";At the top, there are 7 cats;At the top, there are 7 cows;At the top, there are 7 horses;At the top, there are 7 ducks
20159;"Comment dit-on ""il y a cinq cochons"" en anglais ?";There are 5 pigs;There are 5 cows;There are 5 birds;There are 5 cats
20160;"Comment dit-on ""à gauche, il y a quatre chevaux"" en anglais ?";On the left, there are 4 horses;On the left, there are 4 frogs;On the left, there are 4 monkeys;On the left, there are 4 rabbits
20161;"Comment dit-on ""à gauche, il y a sept chats"" en anglais ?";On the left, there are 7 cats;On the left, there are 7 rabbits;On the left, there are 7 elephants;On the left, there are 7 cows
20162;"Que veut dire ""glass"" en français ?";verre;fourchette;assiette;frigo
20163;"Comment dit-on ""escalier"" en anglais ?";stairs;bed;garden;bathroom
20164;"Comment dit-on ""en haut, il y a quatre moutons"" en anglais ?";At the top, there are 4 sheep;At the top, there are 4 ducks;At the top, there are 4 fish;At the top, there are 4 rabbits
20165;"Comment dit-on ""à gauche, il y a quatre serpents"" en anglais ?";On the left, there are 4 snakes;On the left, there are 4 birds;On the left, there are 4 frogs;On the left, there are 4 bears
20166;"Que veut dire ""shoulder"" en français ?";épaule;bras;pied;jambe
20167;"Comment dit-on ""au milieu, il y a cinq ours"" en anglais ?";In the middle, there are 5 bears;In the middle, there are 5 elephants;In the middle, there are 5 sheep;In the middle, there are 5 dogs
20168;"Comment dit-on ""en bas, il y a sept lapins"" en anglais ?";At the bottom, there are 7 rabbits;At the bottom, there are 7 cats;At the bottom, there are 7 ducks;At the bottom, there are 7 horses
20169;"Comment dit-on ""en bas, il y a quatre grenouilles"" en anglais ?";At the bottom, there are 4 frogs;At the bottom, there are 4 snakes;At the bottom, there are 4 tigers;At the bottom, there are 4 birds
20170;"Comment dit-on ""à gauche, il y a six singes"" en anglais ?";On the left, there are 6 monkeys;On the left, there are 6 bears;On the left, there are 6 lions;On the left, there are 6 ducks
20171;"Comment dit-on ""à gauche, il y a sept canards"" en anglais ?";On the left, there are 7 ducks;On the left, there are 7 cows;On the left, there are 7 mice;On the left, there are 7 fish
20172;"Comment dit-on ""à gauche, il y a six canards"" en anglais ?";On the left, there are 6 ducks;On the left, there are 6 lions;On the left, there are 6 frogs;On the left, there are 6 cows
20173;"Comment dit-on ""en bas, il y a six serpents"" en anglais ?";At the bottom, there are 6 snakes;At the bottom, there are 6 sheep;At the bottom, there are 6 fish;At the bottom, there are 6 tigers
20174;"Comment dit-on ""à gauche, il y a sept lapins"" en anglais ?";On the left, there are 7 rabbits;On the left, there are 7 snakes;On the left, there are 7 elephants;On the left, there are 7 cows
20175;"Comment dit-on ""en haut, il y a sept poissons"" en anglais ?";At the top, there are 7 fish;At the top, there are 7 bears;At the top, there are 7 lions;At the top, there are 7 horses
20176;"Comment dit-on ""au milieu, il y a cinq vaches"" en anglais ?";In the middle, there are 5 cows;In the middle, there are 5 horses;In the middle, there are 5 pigs;In the middle, there are 5 bears
20177;"Comment dit-on ""en bas, il y a cinq cochons"" en anglais ?";At the bottom, there are 5 pigs;At the bottom, there are 5 elephants;At the bottom, there are 5 snakes;At the bottom, there are 5 rabbits
20178;"Comment dit-on ""à droite, il y a six chevaux"" en anglais ?";On the right, there are 6 horses;On the right, there are 6 fish;On the right, there are 6 rabbits;On the right, there are 6 cows
20179;"Comment dit-on ""en haut, il y a six oiseaus"" en anglais ?";At the top, there are 6 birds;At the top, there are 6 pigs;At the top, there are 6 elephants;At the top, there are 6 cats
20180;"Comment dit-on ""il y a quatre singes"" en anglais ?";There are 4 monkeys;There are 4 cats;There are 4 rabbits;There are 4 frogs
20181;"Comment dit-on ""en haut, il y a quatre chevaux"" en anglais ?";At the top, there are 4 horses;At the top, there are 4 pigs;At the top, there are 4 ducks;At the top, there are 4 birds
20182;"Comment dit-on ""à droite, il y a quatre moutons"" en anglais ?";On the right, there are 4 sheep;On the right, there are 4 monkeys;On the right, there are 4 cows;On the right, there are 4 mice
20183;"Comment dit-on ""à droite, il y a quatre singes"" en anglais ?";On the right, there are 4 monkeys;On the right, there are 4 dogs;On the right, there are 4 elephants;On the right, there are 4 horses
20184;"Comment dit-on ""en haut, il y a cinq souriss"" en anglais ?";At the top, there are 5 mice;At the top, there are 5 rabbits;At the top, there are 5 elephants;At the top, there are 5 tigers
20185;"Comment dit-on ""à droite, il y a quatre poissons"" en anglais ?";On the right, there are 4 fish;On the right, there are 4 horses;On the right, there are 4 cats;On the right, there are 4 elephants
20186;"Comment dit-on ""en bas, il y a cinq poissons"" en anglais ?";At the bottom, there are 5 fish;At the bottom, there are 5 snakes;At the bottom, there are 5 monkeys;At the bottom, there are 5 elephants
20187;"Comment dit-on ""en haut, il y a quatre chiens"" en anglais ?";At the top, there are 4 dogs;At the top, there are 4 birds;At the top, there are 4 frogs;At the top, there are 4 pigs
20188;"Comment dit-on ""à gauche, il y a sept singes"" en anglais ?";On the left, there are 7 monkeys;On the left, there are 7 tigers;On the left, there are 7 frogs;On the left, there are 7 cows
20189;"Comment dit-on ""en bas, il y a cinq éléphants"" en anglais ?";At the bottom, there are 5 elephants;At the bottom, there are 5 lions;At the bottom, there are 5 sheep;At the bottom, there are 5 cats
20190;"Comment dit-on ""à droite, il y a cinq singes"" en anglais ?";On the right, there are 5 monkeys;On the right, there are 5 mice;On the right, there are 5 horses;On the right, there are 5 lions
20191;"Comment dit-on ""à droite, il y a sept lions"" en anglais ?";On the right, there are 7 lions;On the right, there are 7 snakes;On the right, there are 7 fish;On the right, there are 7 pigs
20192;"Comment dit-on ""il y a cinq chevaux"" en anglais ?";There are 5 horses;There are 5 rabbits;There are 5 lions;There are 5 mice
20193;"Comment dit-on ""à gauche, il y a quatre singes"" en anglais ?";On the left, there are 4 monkeys;On the left, there are 4 rabbits;On the left, there are 4 frogs;On the left, there are 4 fish
20194;"Comment dit-on ""en bas, il y a cinq lapins"" en anglais ?";At the bottom, there are 5 rabbits;At the bottom, there are 5 mice;At the bottom, there are 5 fish;At the bottom, there are 5 dogs
20195;"Comment dit-on ""au milieu, il y a sept ours"" en anglais ?";In the middle, there are 7 bears;In the middle, there are 7 tigers;In the middle, there are 7 pigs;In the middle, there are 7 frogs
20196;"Comment dit-on ""en bas, il y a cinq serpents"" en anglais ?";At the bottom, there are 5 snakes;At the bottom, there are 5 monkeys;At the bottom, there are 5 cats;At the bottom, there are 5 lions
20197;"Comment dit-on ""en bas, il y a cinq canards"" en anglais ?";At the bottom, there are 5 ducks;At the bottom, there are 5 frogs;At the bottom, there are 5 cats;At the bottom, there are 5 cows
20198;"Comment dit-on ""en bas, il y a cinq chiens"" en anglais ?";At the bottom, there are 5 dogs;At the bottom, there are 5 rabbits;At the bottom, there are 5 elephants;At the bottom, there are 5 birds
20199;"Comment dit-on ""il y a six canards"" en anglais ?";There are 6 ducks;There are 6 monkeys;There are 6 cows;There are 6 birds
20200;"Comment dit-on ""il y a cinq lapins"" en anglais ?";There are 5 rabbits;There are 5 mice;There are 5 elephants;There are 5 lions
20201;"Comment dit-on ""il y a cinq vaches"" en anglais ?";There are 5 cows;There are 5 snakes;There are 5 birds;There are 5 lions
20202;"Comment dit-on ""en bas, il y a six ours"" en anglais ?";At the bottom, there are 6 bears;At the bottom, there are 6 birds;At the bottom, there are 6 lions;At the bottom, there are 6 ducks
20203;"Comment dit-on ""plat de poisson"" en anglais ?";fish dish;egg;bread;chocolate
20204;"Que veut dire ""fish dish"" en français ?";poisson (plat);fromage;viande;eau
20205;"Comment dit-on ""au milieu, il y a six poissons"" en anglais ?";In the middle, there are 6 fish;In the middle, there are 6 bears;In the middle, there are 6 rabbits;In the middle, there are 6 tigers
20206;"Comment dit-on ""au milieu, il y a cinq lions"" en anglais ?";In the middle, there are 5 lions;In the middle, there are 5 tigers;In the middle, there are 5 snakes;In the middle, there are 5 sheep
20207;"Comment dit-on ""au milieu, il y a sept cochons"" en anglais ?";In the middle, there are 7 pigs;In the middle, there are 7 fish;In the middle, there are 7 frogs;In the middle, there are 7 bears
20208;"Comment dit-on ""en bas, il y a sept chats"" en anglais ?";At the bottom, there are 7 cats;At the bottom, there are 7 sheep;At the bottom, there are 7 cows;At the bottom, there are 7 fish
20209;"Comment dit-on ""au milieu, il y a quatre chats"" en anglais ?";In the middle, there are 4 cats;In the middle, there are 4 horses;In the middle, there are 4 frogs;In the middle, there are 4 birds
20210;"Comment dit-on ""en haut, il y a six vaches"" en anglais ?";At the top, there are 6 cows;At the top, there are 6 cats;At the top, there are 6 elephants;At the top, there are 6 horses
20211;"Comment dit-on ""en bas, il y a quatre moutons"" en anglais ?";At the bottom, there are 4 sheep;At the bottom, there are 4 mice;At the bottom, there are 4 rabbits;At the bottom, there are 4 cats
20212;"Comment dit-on ""à droite, il y a cinq chevaux"" en anglais ?";On the right, there are 5 horses;On the right, there are 5 lions;On the right, there are 5 snakes;On the right, there are 5 cows
