id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
24063;passage;Tom se rend à la fête foraine avec son grand frère, un samedi soir. Dès leur arrivée, Tom monte sur le manège à chevaux qui tourne en musique. Il achète ensuite une grosse barbe à papa rose qui colle à ses doigts. Au stand de tir, Tom vise bien et gagne un ours en peluche marron. La nuit tombe et des milliers de lumières colorées s'allument autour d'eux. Tom entend de la musique qui vient de partout à la fois. Pour finir la soirée, il rit aux éclats sur les autos tamponneuses avec son frère. Quelle soirée merveilleuse pour Tom !;;;;;;
24064;question;Quand Tom va-t-il à la fête foraine ?;un samedi soir;un dimanche matin;un mercredi après-midi;pendant les vacances d'été;24063;L
24065;question;Avec qui Tom y va-t-il ?;son grand frère;sa mamie;sa classe;son papa;24063;L
24066;question;Sur quoi Tom monte-t-il en premier ?;le manège à chevaux;la grande roue;le train fantôme;le grand huit;24063;L
24067;question;Que fait le manège pendant que Tom est dessus ?;il tourne en musique;il reste immobile;il va très vite;il fait des sauts;24063;L
24068;question;Qu'achète Tom ensuite ?;une barbe à papa;une glace;une pomme d'amour;des bonbons;24063;L
24069;question;De quelle couleur est la barbe à papa ?;rose;bleue;verte;blanche;24063;L
24070;question;Que fait la barbe à papa aux doigts de Tom ?;elle colle;elle fond tout de suite;elle tache ses vêtements;rien de particulier;24063;L
24071;question;Que gagne Tom au stand de tir ?;un ours en peluche;une poupée;un ballon;une voiture jouet;24063;L
24072;question;De quelle couleur est l'ours ?;marron;blanc;rose;noir;24063;L
24073;question;Que se passe-t-il quand la nuit tombe ?;des lumières colorées s'allument;tout s'éteint;la fête ferme;il commence à pleuvoir;24063;L
24074;question;D'ou vient la musique que Tom entend ?;de partout à la fois;seulement du manège;d'un haut-parleur unique;de nulle part;24063;L
24075;question;Comment se termine la soirée de Tom ?;il rit sur les autos tamponneuses;il s'ennuie et rentre;il pleure de fatigue;il perd son ours;24063;L
24076;question;Avec qui Tom fait-il les autos tamponneuses ?;son frère;sa mamie;seul;des inconnus;24063;L
24077;question;Comment Tom qualifie-t-il sa soirée ?;merveilleuse;ennuyeuse;trop courte et décevante;fatigante;24063;L
24078;question;Que vise Tom au stand de tir ?;des cibles;des ballons dans l'eau;des quilles;des anneaux;24063;L
24079;question;Que fait Tom dès son arrivée à la fête ?;il monte sur le manège;il mange d'abord;il rentre chez lui;il cherche son frère;24063;L
24080;question;"Que veut dire ""colle"" dans le texte ?";reste attachée;tombe par terre;fond vite;sent bon;24063;V
24081;question;"Que veut dire ""rit aux éclats"" dans le texte ?";rit très fort;pleure un peu;chante fort;crie de peur;24063;V
24082;question;Pourquoi la barbe à papa colle-t-elle aux doigts de Tom ?;c'est du sucre qui devient collant;Tom à les mains sales;elle est trop chaude;elle est cassée;24063;I
24083;question;Qu'est-ce qui montre que Tom passe une très bonne soirée ?;il rit et qualifie la soirée de merveilleuse;il regarde tout le temps l'heure;il demande à rentrer tôt;il reste seul dans un coin;24063;I
24084;passage;Alice prend le train avec sa mamie pour aller passer le week-end à la campagne. Avant de partir, elle range ses affaires dans une petite valise rouge. Une fois assise, Alice regarde par la fenêtre le paysage qui défile à toute vitesse. Le train traverse de grands champs verts où paissent des vaches tranquilles. Vers midi, sa mamie sort un goûter et le partage avec Alice. Un contrôleur passe dans le wagon pour vérifier le billet de chaque voyageur. Bercée par le mouvement du train, Alice finit par s'endormir un moment. Quand elle se réveille, le train arrive doucement en gare.;;;;;;
24085;question;Avec qui Alice prend-elle le train ?;sa mamie;son papa;sa classe;sa soeur;24084;L
24086;question;Où vont-elles ?;à la campagne;à la mer;en ville;à la montagne;24084;L
24087;question;Que fait Alice avant de partir ?;elle range ses affaires dans une valise;elle prépare à manger;elle téléphone à une amie;elle dort;24084;L
24088;question;De quelle couleur est la valise ?;rouge;bleue;verte;noire;24084;L
24089;question;Que fait Alice une fois assise ?;elle regarde par la fenêtre;elle lit un livre;elle dort tout de suite;elle joue à un jeu;24084;L
24090;question;Comment le paysage défile-t-il ?;à toute vitesse;très lentement;il ne bouge pas;par à-coups;24084;L
24091;question;Que traverse le train ?;de grands champs verts;une forêt sombre;un désert;une grande ville;24084;L
24092;question;Que font les vaches dans les champs ?;elles paissent calmement;elles courent;elles dorment;elles boivent;24084;L
24093;question;Que fait la mamie d'Alice vers midi ?;elle sort un goûter;elle va au wagon-restaurant;elle dort;elle téléphone;24084;L
24094;question;Qui passe dans le wagon ?;un contrôleur;un serveur;un policier;un autre voyageur;24084;L
24095;question;Que vérifie le contrôleur ?;le billet de chaque voyageur;les valises;les papiers d'identité;rien de particulier;24084;L
24096;question;Que fait Alice, bercée par le train ?;elle s'endort un moment;elle chante;elle pleure;elle court dans le wagon;24084;L
24097;question;Que se passe-t-il quand Alice se réveille ?;le train arrive en gare;le train est encore loin;le train s'est arrêté en pleine campagne;elle a raté son arrêt;24084;L
24098;question;Combien de temps dure le séjour d'Alice ?;le week-end;une seule journée;un mois;toute une semaine;24084;L
24099;question;Comment le train arrive-t-il en gare ?;doucement;très brusquement;en retard;il n'arrive pas encore;24084;L
24100;question;Que partage la mamie avec Alice vers midi ?;un goûter;un repas complet;des bonbons;rien, elles n'ont rien apporte;24084;L
24101;question;"Que veut dire ""défile"" dans le texte ?";passe rapidement devant les yeux;reste immobile;disparaît;devient flou;24084;V
24102;question;"Que veut dire ""bercée"" dans le texte ?";endormie doucement par un mouvement régulier;réveillée brusquement;effrayée;gênée;24084;V
24103;question;Pourquoi Alice s'endort-elle pendant le trajet ?;le mouvement régulier du train la berce;elle est malade;elle s'ennuie beaucoup;il fait très sombre dans le wagon;24084;I
24104;question;Que peut-on deviner sur la relation d'Alice avec sa mamie ?;elles passent un moment agréable ensemble;elles se disputent souvent;elles se voient pour la première fois;Alice n'aime pas voyager avec elle;24084;I
24105;passage;Diego prend l'avion pour la toute première fois de sa vie, en direction de l'Espagne. Un peu nerveux, il serre fort la main de son papa pendant le décollage. L'avion s'élève très vite dans le ciel et Diego sent son ventre se serrer. Par le hublot, il regarde les nuages blancs qui ressemblent à de la barbe à papa. Une hôtesse souriante lui apporte un jus d'orange et un petit gâteau sale. Diego observe longtemps la mer bleue qui s'étend à perte de vue sous l'avion. Peu à peu, il se détend et commence même à trouver ce voyage passionnant. Quand l'avion se pose enfin, Diego a déjà hâte de reprendre l'avion un jour.;;;;;;
24106;question;Que fait Diego pour la première fois ?;il prend l'avion;il prend le bateau;il nage dans la mer;il conduit une voiture;24105;L
24107;question;Vers quel pays vole l'avion ?;l'Espagne;l'Italie;le Portugal;la Grèce;24105;L
24108;question;Comment Diego se sent-il avant le décollage ?;un peu nerveux;très calme;en colère;endormi;24105;L
24109;question;Que fait Diego pendant le décollage ?;il serre la main de son papa;il chante;il dort;il pleure très fort;24105;L
24110;question;Comment l'avion s'élève-t-il ?;très vite;très lentement;en zigzag;il ne bouge pas;24105;L
24111;question;Que ressent Diego quand l'avion s'élève ?;son ventre se serre;il a très chaud;il a mal à la tête;rien du tout;24105;L
24112;question;Par où Diego regarde-t-il les nuages ?;le hublot;la porte;un écran;il ne les voit pas;24105;L
24113;question;À quoi ressemblent les nuages selon Diego ?;à de la barbe à papa;à des montagnes;à des animaux;à rien de particulier;24105;L
24114;question;Que lui apporte l'hôtesse ?;un jus d'orange et un gâteau;un repas complet;juste de l'eau;rien du tout;24105;L
24115;question;Comment est l'hôtesse ?;souriante;fâchée;pressée;fatiguée;24105;L
24116;question;Que regarde Diego longtemps sous l'avion ?;la mer bleue;des montagnes;une ville;le désert;24105;L
24117;question;Comment la mer s'étend-elle sous l'avion ?;à perte de vue;sur une petite zone seulement;elle n'est pas visible;elle est cachée par les nuages;24105;L
24118;question;Que fait Diego peu à peu pendant le vol ?;il se détend;il devient plus nerveux;il s'endort tout de suite;il pleure;24105;L
24119;question;Comment Diego trouve-t-il finalement ce voyage ?;passionnant;ennuyeux;effrayant;trop long;24105;L
24120;question;Comment l'avion se pose-t-il ?;il se pose enfin;il ne se pose jamais;il atterrit brutalement;il fait demi-tour;24105;L
24121;question;Qu'a hâte de faire Diego après ce voyage ?;reprendre l'avion un jour;ne plus jamais voler;rentrer tout de suite chez lui;dormir très longtemps;24105;L
24122;question;"Que veut dire ""nerveux"" dans le texte ?";un peu inquiet;très joyeux;très fatigué;en colère;24105;V
24123;question;"Que veut dire ""s'étend à perte de vue"" dans le texte ?";va très loin, jusqu'à l'horizon;est toute petite;est invisible;est très agitée;24105;V
24124;question;Pourquoi le ventre de Diego se serre-t-il au décollage ?;c'est la sensation inhabituelle de l'accélération;il est malade;il a faim;il a trop mangé;24105;I
24125;question;Qu'est-ce qui montre que Diego a changé d'avis pendant le vol ?;il passe de nerveux à passionné par le voyage;il pleure de plus en plus;il demande à rentrer;il reste inquiet jusqu'à la fin;24105;I
24126;passage;Ingrid embarque pour une croisière en mer avec ses parents, pour la première semaine des vacances. Le bateau est immense, tout blanc, avec plusieurs étages relies par des escaliers. Accoudée au bastingage, Ingrid regarde la mer d'un bleu profond qui s'étend à l'infini. Soudain, un groupe de dauphins bondit hors de l'eau tout près du bateau, ce qui ravit Ingrid. Le capitaine, en uniforme blanc, salue les passagers réunis sur le pont. Le soir, Ingrid dîne dans une grande salle décorée de lumières scintillantes. Bercée par le roulis du bateau, elle s'endort dans sa petite cabine confortable. Ingrid espère déjà pouvoir refaire une croisière l'année prochaine.;;;;;;
24127;question;Avec qui Ingrid part-elle en croisière ?;ses parents;sa classe;ses cousins;sa mamie;24126;L
24128;question;Quand a lieu cette croisière ?;la première semaine des vacances;un week-end d'hiver;pendant l'année scolaire;un jour férié;24126;L
24129;question;Comment est le bateau ?;immense et blanc;petit et vieux;en bois;rouge et jaune;24126;L
24130;question;Comment les étages du bateau sont-ils relies ?;par des escaliers;par des ascenseurs seulement;par des ponts extérieurs;ils ne sont pas relies;24126;L
24131;question;Où Ingrid regarde-t-elle la mer ?;accoudée au bastingage;depuis sa cabine;depuis la salle à manger;elle ne la regarde pas;24126;L
24132;question;Comment Ingrid décrit-elle la mer ?;d'un bleu profond;grise et agitée;verte et calme;sombre et froide;24126;L
24133;question;Que fait un groupe de dauphins ?;il bondit hors de l'eau;il reste cache;il suit un poisson;il s'approche du rivage;24126;L
24134;question;Comment Ingrid réagit-elle en voyant les dauphins ?;elle est ravie;elle a peur;elle est indifférente;elle pleure de surprise;24126;L
24135;question;Comment est habillé le capitaine ?;en uniforme blanc;en costume noir;en tenue de marin raye;en vêtements de sport;24126;L
24136;question;Que fait le capitaine envers les passagers ?;il les salue chaleureusement;il les ignore;il leur donne des ordres;il reste dans sa cabine;24126;L
24137;question;Où sont réunis les passagers ?;sur le pont;dans leurs cabines;à la cuisine;sur le quai;24126;L
24138;question;Comment est décorée la salle du dîner ?;avec des lumières scintillantes;elle n'est pas décorée;avec des fleurs seulement;avec des tableaux;24126;L
24139;question;Qu'est-ce qui berce Ingrid le soir ?;le roulis du bateau;une chanson;le vent;rien, elle a du mal à dormir;24126;L
24140;question;Où Ingrid dort-elle ?;une petite cabine confortable;sur le pont;dans la salle à manger;dans un hamac;24126;L
24141;question;Qu'espère Ingrid pour l'année prochaine ?;refaire une croisière;ne plus jamais prendre le bateau;aller à la montagne;rester à la maison;24126;L
24142;question;Que fait Ingrid quand elle est accoudée au bastingage ?;elle regarde la mer;elle mange;elle dort;elle joue avec d'autres enfants;24126;L
24143;question;"Que veut dire ""le roulis"" dans le texte ?";le mouvement de balancement du bateau;le bruit du moteur;la vitesse du bateau;la couleur de la mer;24126;V
24144;question;"Que veut dire ""s'étend à l'infini"" dans le texte ?";semble ne jamais s'arrêter;est très petite;change de couleur;est dangereuse;24126;V
24145;question;Pourquoi Ingrid est-elle ravie de voir les dauphins ?;c'est un spectacle rare et magnifique en pleine mer;elle a peur des dauphins d'habitude;elle ne les avait jamais vus en photo;le capitaine le lui avait promis;24126;I
24146;question;Qu'est-ce qui montre qu'Ingrid a passé un bon séjour ?;elle espère refaire une croisière l'an prochain;elle est pressée de rentrer;elle ne parle pas de la croisière;elle veut essayer un autre transport;24126;I
24147;passage;Marco passe toute la journée chez ses cousins, qui habitent une grande maison avec un jardin. Dès son arrivée, il retrouve sa cousine Livia et ils jouent au ballon sous le soleil. Livia propose ensuite de fabriquer une cabane en empilant des couvertures sur des chaises. Leur tante prépare des cookies encore chauds que les enfants dégustent avec plaisir. Marco et Livia rient beaucoup en se racontant des histoires drôles dans leur cabane improvisée. Le soir venu, toute la famille regarde ensemble un film dans le salon. Quand ses parents viennent le chercher, Marco n'a vraiment pas envie de repartir.;;;;;;
24148;question;Chez qui Marco passe-t-il la journée ?;ses cousins;ses grands-parents;ses voisins;sa marraine;24147;L
24149;question;Où habitent les cousins de Marco ?;une grande maison avec jardin;un appartement en ville;une ferme;au bord de la mer;24147;L
24150;question;Comment s'appelle la cousine de Marco ?;Livia;Sofia;Inès;Zoé;24147;L
24151;question;À quoi jouent-ils dès l'arrivée de Marco ?;au ballon;aux cartes;aux billes;à la corde à sauter;24147;L
24152;question;Sous quoi jouent-ils au ballon ?;le soleil;un abri;un arbre;la pluie;24147;L
24153;question;Que propose Livia ensuite ?;fabriquer une cabane;aller à la piscine;faire du vélo;regarder la télévision;24147;L
24154;question;Avec quoi construisent-ils la cabane ?;des couvertures sur des chaises;des cartons;des coussins par terre;du bois;24147;L
24155;question;Que prépare la tante de Marco ?;des cookies;un gâteau;des crêpes;une tarte;24147;L
24156;question;Comment sont les cookies quand les enfants les gouttent ?;encore chauds;froids;un peu brûlés;trop durs;24147;L
24157;question;Que font Marco et Livia dans la cabane ?;ils se racontent des histoires drôles;ils font leurs devoirs;ils dorment;ils se disputent;24147;L
24158;question;Que fait la famille le soir ?;elle regarde un film;elle sort au restaurant;elle va se coucher tôt;elle joue aux cartes;24147;L
24159;question;Où regardent-ils le film ?;dans le salon;dans la cabane;dans le jardin;dans une chambre;24147;L
24160;question;Qui vient chercher Marco à la fin ?;ses parents;sa mamie;un voisin;personne, il rentre seul;24147;L
24161;question;Comment Marco se sent-il quand ses parents arrivent ?;il n'a pas envie de repartir;il est content de rentrer;il est fatigué et veut dormir;il est indifférent;24147;L
24162;question;Où se trouve le jardin dont il est question ?;chez les cousins de Marco;chez Marco;à l'école;au parc du quartier;24147;L
24163;question;Qui a fait les cookies ?;la tante de Marco;Livia;Marco;personne, ils les ont achetés;24147;L
24164;question;"Que veut dire ""improvisée"" dans le texte ?";faite rapidement, sans préparation;très solide et durable;achetée dans un magasin;cachée dans un coin secret;24147;V
24165;question;"Que veut dire ""dégustent"" dans le texte ?";mangent en appréciant le goût;avalent très vite;refusent de manger;partagent avec d'autres;24147;V
24166;question;Pourquoi Marco ne veut-il pas repartir à la fin de la journée ?;il a passé un très bon moment avec ses cousins;il s'est disputé avec ses parents;il a oublié quelque chose chez sa tante;il a peur de rentrer seul;24147;I
24167;question;Qu'est-ce qui montre que Marco et Livia s'entendent bien ?;ils jouent, rient et inventent des histoires ensemble;ils se disputent tout le temps;ils restent chacun de leur côté;ils ne se parlent presque pas;24147;I
24168;passage;Sofia part pique-niquer à la campagne un dimanche ensoleillé avec toute sa famille. Ils installent une grande nappe à carreaux à l'ombre d'un vieux chêne. Sofia croque avec plaisir dans un sandwich au fromage préparé par sa maman. Celle-ci découpe ensuite une pastèque bien sucrée en tranches épaisses pour tout le monde. Non loin de la, des vaches broutent calmement dans un pré entouré de fleurs. Sofia s'amuse à courir après des papillons multicolores qui volent au-dessus de l'herbe. Son papa sort sa guitare et joue quelques airs joyeux pendant que le soleil descend doucement. Fatiguée par sa journée, Sofia finit par s'endormir calmement dans l'herbe tendre.;;;;;;
24169;question;Quel jour Sofia pique-nique-t-elle ?;un dimanche ensoleillé;un lundi pluvieux;un jour de neige;un soir d'hiver;24168;L
24170;question;Où installent-ils la nappe ?;à l'ombre d'un vieux chêne;en plein soleil;sous une tente;au bord de l'eau;24168;L
24171;question;Comment est la nappe ?;à carreaux;unie et blanche;fleurie;à rayures;24168;L
24172;question;Que mange Sofia avec plaisir ?;un sandwich au fromage;une pizza;une soupe froide;un gâteau;24168;L
24173;question;Qui a préparé le sandwich ?;sa maman;son papa;sa mamie;Sofia elle-même;24168;L
24174;question;Que découpe la maman de Sofia ensuite ?;une pastèque;une pomme;un melon vert;une orange;24168;L
24175;question;Comment est la pastèque ?;bien sucrée;un peu acide;pas encore mure;trop dure;24168;L
24176;question;Comment la pastèque est-elle découpée ?;en tranches épaisses;en petits des;en jus;elle n'est pas découpée;24168;L
24177;question;Que font les vaches non loin de la ?;elles broutent calmement;elles courent partout;elles dorment;elles boivent dans une rivière;24168;L
24178;question;Qu'entoure le pré des vaches ?;des fleurs;une clôture en bois;une rivière;des arbres fruitiers;24168;L
24179;question;À quoi Sofia s'amuse-t-elle ?;courir après des papillons;sauter à la corde;jouer au ballon;construire un château;24168;L
24180;question;Comment sont les papillons ?;multicolores;tout noirs;tout blancs;invisibles;24168;L
24181;question;Où volent les papillons ?;au-dessus de l'herbe;dans la maison;sous la nappe;loin du pique-nique;24168;L
24182;question;Que sort le papa de Sofia ?;sa guitare;un ballon;un livre;un appareil photo;24168;L
24183;question;Que fait le papa avec sa guitare ?;il joue des airs joyeux;il la range tout de suite;il la donne à Sofia;il chante sans jouer;24168;L
24184;question;Que fait le soleil pendant que le papa joue ?;il descend doucement;il se cache derrière un nuage;il tape très fort;il disparaît déjà;24168;L
24185;question;"Que veut dire ""calmement"" dans le texte ?";calmement, sans agitation;brutalement;rapidement, en courant;avec de la peur;24168;V
24186;question;"Que veut dire ""entoure"" dans le texte ?";se trouve tout autour;est loin de;est caché sous;est au-dessus de;24168;V
24187;question;Pourquoi Sofia s'endort-elle à la fin de la journée ?;elle est fatiguée par une journée active et agréable;elle est malade;elle s'ennuie beaucoup;il fait très froid dehors;24168;I
24188;question;Qu'est-ce qui montre que la famille de Sofia passe un bon moment ensemble ?;chacun profite du pique-nique et de la musique;ils se disputent pour la nourriture;ils veulent rentrer très vite;personne ne parle pendant le repas;24168;I
24189;passage;Elias se rend à la plage avec son cerf-volant rouge et jaune tout neuf. Ce jour-là, un vent fort souffle depuis la mer, idéal pour faire voler un cerf-volant. Elias court sur le sable en tenant fermement la ficelle tendue. Peu à peu, le cerf-volant s'élève et monte très haut dans le ciel bleu. Sa soeur applaudit et l'encourage depuis sa serviette de plage. Un petit chien noir court gaiement autour d'eux en aboyant. Elias maintient fermement la ficelle malgré les rafales qui secouent le cerf-volant. Quand il rentre chez lui, Elias est très fier de son exploit.;;;;;;
24190;question;Où Elias se rend-il avec son cerf-volant ?;à la plage;au parc;en montagne;dans son jardin;24189;L
24191;question;De quelles couleurs est le cerf-volant ?;rouge et jaune;bleu et blanc;vert et noir;rose et violet;24189;L
24192;question;D'ou souffle le vent ce jour-là ?;depuis la mer;depuis la montagne;il n'y à pas de vent;depuis la ville;24189;L
24193;question;Comment est le vent ce jour-là ?;fort;très faible;absent;glacial;24189;L
24194;question;Que fait Elias sur le sable ?;il court en tenant la ficelle;il marche lentement;il s'assoit;il construit un château;24189;L
24195;question;Que fait le cerf-volant peu à peu ?;il s'élève très haut;il reste au sol;il tombe dans l'eau;il se déchire;24189;L
24196;question;De quelle couleur est le ciel ?;bleu;gris;orange;couvert de nuages noirs;24189;L
24197;question;Qui applaudit Elias ?;sa soeur;son papa;sa mamie;sa maîtresse;24189;L
24198;question;D'ou sa soeur regarde-t-elle Elias ?;depuis sa serviette de plage;depuis la maison;depuis l'eau;elle ne le regarde pas;24189;L
24199;question;Quel animal court autour d'eux ?;un petit chien noir;un chat;un oiseau;un crabe;24189;L
