id;classe;texte
62;CM1;Un exercice de grammaire du CM1 : réponds bien et gagne des pièces !
63;CM1;La conjugaison n'a plus de secret ? Viens gagner des pièces avec le maître du CM1 !
64;CM1;L'orthographe du CM1 te rapporte des pièces à chaque bonne réponse !
65;CM1;Anglais du CM1 : apprends des mots et repars avec des pièces !
66;CM1;Une histoire à lire avec le maître du CM1, avec des pièces à la clé !
67;CM1;Un défi de logique avec le maître du CM1, ça te dit ? Des pièces sont en jeu !
68;CM1;Grammaire, conjugaison ou orthographe : le maître du CM1 te récompense en pièces !
69;CM1;Chaque calcul juste en mathématiques du CM1 te fait gagner des pièces !
70;CM1;Le maître du CM1 a un nouveau texte à te faire lire, avec des pièces à gagner !
71;CM1;Anglais, grammaire ou logique : choisis ta matière avec le maître du CM1 !
72;CM1;Un exercice de conjugaison qui rapporte des pièces, ça te tente ?
73;CM1;L'orthographe du CM1 devient facile avec de l'entraînement, et ça rapporte des pièces !
74;CM1;Un peu de logique avec le maître du CM1 ? Il y a des pièces à gagner !
75;CM1;Plus tu réussis en mathématiques, plus le maître du CM1 te donne de pièces !
76;CM1;Sais-tu que tes pièces permettent d'acheter des tenues à la boutique ?
77;CM1;Avec les pièces gagnées en classe, tu peux ouvrir des coffres de cartes à la boutique !
78;CM1;Va voir la boutique : des tenues rigolotes t'attendent contre tes pièces !
79;CM1;Un coffre de cartes t'attend à la boutique, grâce aux pièces que tu as gagnées !
80;CM1;Plus tu gagnes de pièces avec le maître du CM1, plus tu peux t'acheter de tenues et de coffres de cartes !
81;CM2;La maîtresse du CM2 t'attend pour des mathématiques qui rapportent des pièces !
82;CM2;Un exercice de grammaire du CM2 : réponds bien et gagne des pièces !
83;CM2;La conjugaison n'a plus de secret ? Viens gagner des pièces avec la maîtresse du CM2 !
84;CM2;L'orthographe du CM2 te rapporte des pièces à chaque bonne réponse !
85;CM2;Anglais du CM2 : apprends des mots et repars avec des pièces !
86;CM2;Une histoire à lire avec la maîtresse du CM2, avec des pièces à la clé !
87;CM2;Un défi de logique avec la maîtresse du CM2, ça te dit ? Des pièces sont en jeu !
88;CM2;Grammaire, conjugaison ou orthographe : la maîtresse du CM2 te récompense en pièces !
89;CM2;Chaque calcul juste en mathématiques du CM2 te fait gagner des pièces !
90;CM2;La maîtresse du CM2 a un nouveau texte à te faire lire, avec des pièces à gagner !
91;CM2;Anglais, grammaire ou logique : choisis ta matière avec la maîtresse du CM2 !
92;CM2;Un exercice de conjugaison qui rapporte des pièces, ça te tente ?
93;CM2;L'orthographe du CM2 devient facile avec de l'entraînement, et ça rapporte des pièces !
94;CM2;Un peu de logique avec la maîtresse du CM2 ? Il y a des pièces à gagner !
95;CM2;Plus tu réussis en mathématiques, plus la maîtresse du CM2 te donne de pièces !
96;CM2;Sais-tu que tes pièces permettent d'acheter des tenues à la boutique ?
97;CM2;Avec les pièces gagnées en classe, tu peux ouvrir des coffres de cartes à la boutique !
98;CM2;Va voir la boutique : des tenues rigolotes t'attendent contre tes pièces !
99;CM2;Un coffre de cartes t'attend à la boutique, grâce aux pièces que tu as gagnées !
100;CM2;Plus tu gagnes de pièces avec la maîtresse du CM2, plus tu peux t'acheter de tenues et de coffres de cartes !
