id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
25098;question;Que veut dire 'bercée' dans le texte ?;endormie doucement par un mouvement régulier;réveillée brusquement;effrayée;gênée;25084;V
25099;question;Que veut dire 'paissent' dans le texte ?;mangent de l'herbe dans un pré;dorment debout;courent en groupe;boivent de l'eau;25084;V
25100;question;Que veut dire 'impatiente' dans le texte ?;qui a hâte que quelque chose arrive;qui n'a aucune envie particulière;qui est fatiguée;qui est déçue;25084;V
25101;question;Pourquoi Alice s'endort-elle pendant le trajet ?;le mouvement régulier du train la berce;elle est malade;elle s'ennuie beaucoup;il fait très sombre dans le wagon;25084;I
25102;question;Que peut-on deviner sur la relation d'Alice avec sa mamie ?;elles passent un moment agréable ensemble;elles se disputent souvent;elles se voient pour la première fois;Alice n'aime pas voyager avec elle;25084;I
25103;question;Pourquoi le contrôleur sourit-il en vérifiant les billets ?;cela fait probablement partie de son travail habituel et agréable;il a reconnu Alice;il trouve la situation drôle;il se moque des voyageurs;25084;I
25104;question;Que peut-on déduire de l'état d'esprit d'Alice à son arrivée ?;elle est joyeuse à l'idée de ses vacances;elle regrette d'être partie;elle est indifférente au voyage;elle a hâte de repartir tout de suite;25084;I
25105;passage;Diego prend l'avion pour la toute première fois de sa vie. L'avion doit l'emmener en Espagne avec son papa. Un peu nerveux, Diego serre fort la main de son papa pendant le décollage. L'avion s'élève très vite dans le ciel. Diego sent alors son ventre se serrer, comme lors d'une descente rapide. Il ferme les yeux un instant. Par le hublot, il observe ensuite les nuages blancs. Ils ressemblent à de la barbe à papa flottant dans le ciel bleu. Une hôtesse souriante lui apporte un jus d'orange et un petit gâteau sale. Diego la remercie poliment. Il observe longuement la mer bleue qui s'étend à perte de vue sous l'avion. Aucun bateau n'est visible de si haut. Peu à peu, Diego se détend. Il commence même à trouver ce voyage passionnant, bien plus que ce qu'il imaginait. Quand l'avion se pose enfin sur la piste, Diego sourit largement. Il a déjà hâte de reprendre l'avion un jour.;;;;;;
25106;question;Que fait Diego pour la première fois ?;il prend l'avion;il prend le bateau;il nage dans la mer;il conduit une voiture;25105;L
25107;question;Vers quel pays vole l'avion ?;l'Espagne;l'Italie;le Portugal;la Grèce;25105;L
25108;question;Que fait Diego pendant le décollage ?;il serre la main de son papa;il chante;il dort;il pleure très fort;25105;L
25109;question;Que ressent Diego quand l'avion s'élève ?;son ventre se serre;il a très chaud;il a mal à la tête;rien du tout;25105;L
25110;question;À quoi ressemblent les nuages selon Diego ?;à de la barbe à papa;à des montagnes;à des animaux;à rien de particulier;25105;L
25111;question;Que lui apporte l'hôtesse ?;un jus d'orange et un gâteau;un repas complet;juste de l'eau;rien du tout;25105;L
25112;question;Que fait Diego quand l'hôtesse lui apporte à manger ?;il la remercie poliment;il ne dit rien;il refuse;il se plaint;25105;L
25113;question;Que regarde Diego longtemps sous l'avion ?;la mer bleue;des montagnes;une ville;le désert;25105;L
25114;question;Que voit-on sur la mer, vue de si haut ?;aucun bateau;des dizaines de bateaux;seulement des îles;des vagues énormes;25105;L
25115;question;Comment Diego trouve-t-il finalement ce voyage ?;passionnant;ennuyeux;effrayant;trop long;25105;L
25116;question;Que fait Diego quand l'avion se pose ?;il sourit largement;il pleure de soulagement;il reste inquiet;il s'endort;25105;L
25117;question;Qu'a hâte de faire Diego après ce voyage ?;reprendre l'avion un jour;ne plus jamais voler;rentrer tout de suite chez lui;dormir très longtemps;25105;L
25118;question;Que veut dire 'nerveux' dans le texte ?;un peu inquiet;très joyeux;très fatigué;en colère;25105;V
25119;question;Que veut dire 's'étend à perte de vue' dans le texte ?;va très loin, jusqu'à l'horizon;est toute petite;est invisible;est très agitée;25105;V
25120;question;Que veut dire 'se détend' dans le texte ?;devient plus calme, moins tendu;devient plus nerveux;s'endort complètement;se met en colère;25105;V
25121;question;Que veut dire 'poliment' dans le texte ?;avec courtoisie et bonnes manières;avec impatience;sans un mot;avec méfiance;25105;V
25122;question;Pourquoi le ventre de Diego se serre-t-il au décollage ?;c'est la sensation inhabituelle de l'accélération;il est malade;il a faim;il a trop mangé;25105;I
25123;question;Qu'est-ce qui montre que Diego a changé d'avis pendant le vol ?;il passe de nerveux à passionné par le voyage;il pleure de plus en plus;il demande à rentrer;il reste inquiet jusqu'à la fin;25105;I
25124;question;Pourquoi ne voit-on aucun bateau depuis l'avion ?;l'avion vole trop haut pour bien les distinguer;il n'y à pas de bateaux sur cette mer;c'est la nuit;les hublots sont trop sales;25105;I
25125;question;Que peut-on déduire du caractère de Diego à la fin du voyage ?;il est devenu curieux et confiant face à la nouveauté;il restera toujours effrayé par l'avion;il ne veut plus jamais voyager;il regrette d'être parti;25105;I
25126;passage;Ingrid embarque pour une croisière en mer avec ses parents, pour la première semaine des vacances. Le bateau est immense et tout blanc. Plusieurs étages sont reliés par de larges escaliers. Accoudée au bastingage, Ingrid regarde la mer d'un bleu profond. L'eau s'étend à l'infini tout autour du bateau. Soudain, un groupe de dauphins bondit hors de l'eau tout près du bateau. Ingrid pousse un cri de joie. Le capitaine, en uniforme blanc, salue chaleureusement les passagers réunis sur le pont. Il leur souhaite un bon voyage. Le soir, Ingrid dîne dans une grande salle décorée de lumières scintillantes. Le repas lui semble très raffine. Bercée par le roulis du bateau, elle s'endort dans sa petite cabine. Le bruit des vagues l'accompagne toute la nuit. Le lendemain matin, Ingrid se réveille avec le sourire. Elle espère déjà pouvoir refaire une croisière l'année prochaine.;;;;;;
25127;question;Avec qui Ingrid part-elle en croisière ?;ses parents;sa classe;ses cousins;sa mamie;25126;L
25128;question;Comment est le bateau ?;immense et blanc;petit et vieux;en bois;rouge et jaune;25126;L
25129;question;Où Ingrid regarde-t-elle la mer ?;accoudée au bastingage;depuis sa cabine;depuis la salle à manger;elle ne la regarde pas;25126;L
25130;question;Que fait un groupe de dauphins ?;il bondit hors de l'eau;il reste cache;il suit un poisson;il s'approche du rivage;25126;L
25131;question;Comment Ingrid réagit-elle en voyant les dauphins ?;elle pousse un cri de joie;elle a peur;elle est indifférente;elle pleure de surprise;25126;L
25132;question;Comment est habillé le capitaine ?;en uniforme blanc;en costume noir;en tenue de marin raye;en vêtements de sport;25126;L
25133;question;Que souhaite le capitaine aux passagers ?;un bon voyage;bon appétit seulement;de faire attention;rien de particulier;25126;L
25134;question;Comment est décorée la salle du dîner ?;avec des lumières scintillantes;elle n'est pas décorée;avec des fleurs seulement;avec des tableaux;25126;L
25135;question;Comment Ingrid trouve-t-elle le repas ?;très raffine;très simple;mauvais;trop copieux;25126;L
25136;question;Qu'est-ce qui accompagne Ingrid toute la nuit ?;le bruit des vagues;de la musique;le silence total;des cris d'animaux;25126;L
25137;question;Comment Ingrid se réveille-t-elle le lendemain ?;avec le sourire;fatiguée et grognon;malade;en pleurant;25126;L
25138;question;Qu'espère Ingrid pour l'année prochaine ?;refaire une croisière;ne plus jamais prendre le bateau;aller à la montagne;rester à la maison;25126;L
25139;question;Que veut dire 'le roulis' dans le texte ?;le mouvement de balancement du bateau;le bruit du moteur;la vitesse du bateau;la couleur de la mer;25126;V
25140;question;Que veut dire 's'étend à l'infini' dans le texte ?;semble ne jamais s'arrêter;est très petite;change de couleur;est dangereuse;25126;V
25141;question;Que veut dire 'raffine' dans le texte, à propos du repas ?;élabore avec soin et élégance;simple et rapide à préparer;froid et sans goût;trop épice;25126;V
25142;question;Que veut dire 'bastingage' dans le texte ?;la rambarde sur le bord d'un bateau;la cuisine du bateau;le moteur du bateau;l'ancre du bateau;25126;V
25143;question;Pourquoi Ingrid pousse-t-elle un cri de joie en voyant les dauphins ?;c'est un spectacle rare et magnifique en pleine mer;elle a peur des dauphins d'habitude;elle ne les avait jamais vus en photo;le capitaine le lui avait promis;25126;I
25144;question;Qu'est-ce qui montre qu'Ingrid a passé un bon séjour ?;elle espère refaire une croisière l'an prochain;elle est pressée de rentrer;elle ne parle pas de la croisière;elle veut essayer un autre transport;25126;I
25145;question;Pourquoi le capitaine salue-t-il chaleureusement les passagers ?;il veut que le voyage se passe dans une bonne ambiance;c'est une obligation stricte imposée par la loi;il connaît personnellement Ingrid;il cherche à vendre autre chose aux passagers;25126;I
25146;question;Que peut-on déduire du confort de cette croisière ?;elle offre un cadre agréable et soigne aux passagers;elle est très inconfortable;elle manque cruellement d'organisation;elle ne propose aucun service;25126;I
25147;passage;Marco passe toute la journée chez ses cousins, qui habitent une grande maison avec un jardin. Dès son arrivée, il retrouve sa cousine Livia. Ensemble, ils jouent au ballon sous le soleil. Livia propose ensuite de fabriquer une cabane. Ils empilent des couvertures sur plusieurs chaises du salon. Leur tante prépare des cookies encore chauds. Les enfants les dégustent avec grand plaisir, assis dans leur cabane. Marco et Livia rient beaucoup en se racontant des histoires drôles. Le temps passe très vite dans leur refuge improvise. Le soir venu, toute la famille se retrouve dans le salon pour regarder un film ensemble. Marco s'installe près de sa cousine, un plaid sur les genoux. Personne n'a envie que la soirée se termine. Quand ses parents viennent le chercher, Marco n'a vraiment pas envie de repartir. Il promet de revenir très vite.;;;;;;
25148;question;Chez qui Marco passe-t-il la journée ?;ses cousins;ses grands-parents;ses voisins;sa marraine;25147;L
25149;question;Où habitent les cousins de Marco ?;une grande maison avec jardin;un appartement en ville;une ferme;au bord de la mer;25147;L
25150;question;Comment s'appelle la cousine de Marco ?;Livia;Sofia;Inès;Zoé;25147;L
25151;question;À quoi jouent-ils dès l'arrivée de Marco ?;au ballon;aux cartes;aux billes;à la corde à sauter;25147;L
25152;question;Avec quoi construisent-ils la cabane ?;des couvertures sur des chaises;des cartons;des coussins par terre;du bois;25147;L
25153;question;Que prépare la tante de Marco ?;des cookies;un gâteau;des crêpes;une tarte;25147;L
25154;question;Où les enfants dégustent-ils les cookies ?;dans leur cabane;à table;dans le jardin;dans la voiture;25147;L
25155;question;Que font Marco et Livia dans la cabane ?;ils se racontent des histoires drôles;ils font leurs devoirs;ils dorment;ils se disputent;25147;L
25156;question;Que fait la famille le soir ?;elle regarde un film;elle sort au restaurant;elle va se coucher tôt;elle joue aux cartes;25147;L
25157;question;Où Marco s'installe-t-il pour regarder le film ?;près de sa cousine, avec un plaid;seul dans un coin;sur le sol froid;dans une autre pièce;25147;L
25158;question;Qui vient chercher Marco à la fin ?;ses parents;sa mamie;un voisin;personne, il rentre seul;25147;L
25159;question;Que promet Marco en repartant ?;de revenir très vite;de ne plus jamais revenir;de rester encore un peu;rien de particulier;25147;L
25160;question;Que veut dire 'improvisée' dans le texte ?;faite rapidement, sans préparation;très solide et durable;achetée dans un magasin;cachée dans un coin secret;25147;V
25161;question;Que veut dire 'dégustent' dans le texte ?;mangent en appréciant le goût;avalent très vite;refusent de manger;partagent avec d'autres;25147;V
25162;question;Que veut dire 'un plaid' dans le texte ?;une couverture douce pour se réchauffer;un jeu de société;un vêtement d'extérieur;un coussin;25147;V
25163;question;Que veut dire 'refuge' dans le texte, à propos de la cabane ?;un endroit ou l'on se sent bien et protège;un endroit dangereux;un endroit interdit;un endroit très bruyant;25147;V
25164;question;Pourquoi Marco ne veut-il pas repartir à la fin de la journée ?;il a passé un très bon moment avec ses cousins;il s'est disputé avec ses parents;il a oublié quelque chose chez sa tante;il a peur de rentrer seul;25147;I
25165;question;Qu'est-ce qui montre que Marco et Livia s'entendent bien ?;ils jouent, rient et inventent des histoires ensemble;ils se disputent tout le temps;ils restent chacun de leur côté;ils ne se parlent presque pas;25147;I
25166;question;Pourquoi personne n'a-t-il envie que la soirée se termine ?;tout le monde passe un moment agréable ensemble;le film est trop long;il est déjà très tard;les enfants ont peur de la nuit;25147;I
25167;question;Que peut-on déduire de l'ambiance chez les cousins de Marco ?;c'est une famille chaleureuse et accueillante;c'est une famille très stricte;c'est une maison ou l'on s'ennuie;c'est une famille distante;25147;I
